City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Suez,0,EG,1561404091,55,29.97,32.54,80.18,13.91
Udachnyy,0,RU,1561404091,54,66.42,112.4,57.2,4.47
Vale da Amoreira,0,PT,1561404092,73,38.65,-9.04,72.0,8.05
Gao,0,ML,1561404092,9,16.28,-0.04,108.08,1.45
Kijini,20,TZ,1561404092,83,-5.85,39.32,78.8,5.82
La Serena,90,CL,1561404092,87,-29.9,-71.25,59.0,8.05
Fonte Boa,98,BR,1561404093,55,-2.51,-66.09,87.2,2.24
Monteagudo,0,BO,1561404093,37,-19.8,-63.96,82.4,4.7
Atherton,75,GB,1561404093,73,53.52,-2.49,71.01,10.29
Whitehorse,75,CA,1561404093,82,60.72,-135.06,64.99,2.24
Scarborough,100,GB,1561403906,88,54.28,-0.41,69.8,3.36
Parabel,39,RU,1561404094,84,58.71,81.5,56.42,8.7
Klaksvik,40,FO,1561404094,76,62.23,-6.59,51.8,6.93
Pacasmayo,50,PE,1561404094,86,-7.4,-79.57,63.62,10.78
Turayf,0,SA,1561404094,17,31.68,38.65,91.4,5.82
Altus,1,US,1561403844,30,34.64,-99.33,87.8,5.82
Ewa Beach,75,US,1561404095,100,21.32,-158.01,80.6,7.23
Zyryanskoye,7,RU,1561404095,85,56.83,86.62,49.94,4.52
Palmer,0,AU,1561403906,56,-34.85,139.16,52.0,9.17
Severo-Yeniseyskiy,100,RU,1561404095,87,60.37,93.04,57.5,2.1
Hobyo,0,SO,1561404095,77,5.35,48.53,77.84,26.75
Rawson,100,AR,1561404096,38,-43.3,-65.11,47.24,18.25
Ruwi,35,OM,1561404096,84,23.6,58.55,91.4,5.82
Abha,0,SA,1561403859,68,18.22,42.5,75.2,4.7
San Cristobal,75,EC,1561404096,62,-0.39,-78.55,71.6,12.75
Eirunepe,74,BR,1561404096,61,-6.66,-69.87,87.56,2.84
Rhyl,20,GB,1561404097,77,53.32,-3.49,69.01,8.05
Marsh Harbour,26,BS,1561404097,73,26.54,-77.06,84.14,11.1
Rocha,100,UY,1561403857,89,-34.48,-54.34,61.82,6.87
Lakes Entrance,0,AU,1561404097,96,-37.88,147.99,32.0,5.28
Arcos,0,BR,1561404097,53,-20.28,-45.54,73.52,4.72
Turukhansk,93,RU,1561404097,92,65.8,87.96,60.92,6.33
Chapais,1,CA,1561404098,29,49.78,-74.86,66.2,5.82
Champerico,40,MX,1561404098,58,16.38,-93.6,87.8,4.7
Callaway,1,US,1561404098,77,46.98,-95.91,73.4,9.17
Mishan,43,CN,1561404098,91,45.55,131.88,60.92,3.98
Banda Aceh,100,ID,1561404098,71,5.56,95.32,84.86,12.33
Mandera,73,ET,1561404099,46,3.94,41.86,85.94,12.06
Sorong,42,ID,1561403913,95,-0.86,131.25,75.32,5.82
Vao,52,EE,1561404099,56,59.1,26.19,61.28,8.99
Gamba,7,CN,1561403859,54,28.28,88.52,44.72,4.05
Iquique,90,CL,1561404099,55,-20.22,-70.14,66.2,5.82
Ban Nahin,88,LA,1561404099,87,18.24,104.21,77.12,0.63
Juneau,75,US,1561403896,77,58.3,-134.42,60.8,8.05
Pokhara,44,NP,1561404100,87,28.21,83.99,57.14,0.69
Quatre Cocos,75,MU,1561404100,94,-20.21,57.76,70.0,18.34
Bowmore,20,US,1561404100,44,34.94,-79.3,97.0,5.82
Almaznyy,20,RU,1561404100,57,48.03,40.04,77.0,6.11
Acapulco,75,MX,1561403855,66,16.86,-99.88,87.8,6.93
Dryden,90,CA,1561404001,93,49.79,-92.84,62.6,5.82
Olinda,75,EC,1561404101,69,-2.03,-79.75,80.6,6.93
Sao Joao da Barra,40,BR,1561404101,61,-21.64,-41.05,80.6,11.41
Baoqing,53,CN,1561404101,77,46.32,132.2,66.5,8.41
Kuminskiy,58,RU,1561404102,55,58.67,66.57,60.74,4.9
Baker City,1,US,1561404102,34,44.77,-117.83,68.0,6.64
Brae,100,GB,1561404102,93,60.4,-1.35,53.6,14.99
Sayyan,84,YE,1561404102,57,15.17,44.32,75.32,5.86
Oktyabrskoye,0,RU,1561404102,81,56.73,85.44,55.0,4.47
Champaign,75,US,1561404086,65,40.12,-88.24,80.01,17.22
Najran,5,SA,1561404103,14,17.54,44.22,80.6,6.93
Jutai,11,BR,1561404103,53,-1.71,-47.89,88.82,5.23
Matara,0,PE,1561403588,36,-13.74,-72.9,60.8,6.67
Zhovkva,0,UA,1561404103,83,50.06,23.97,69.8,4.47
Santa Cruz del Sur,1,CU,1561404103,44,20.71,-78.0,93.5,5.21
Maceio,40,BR,1561404104,65,-9.67,-35.74,80.6,11.41
Bestobe,0,KZ,1561403853,87,52.5,73.1,61.1,3.09
Coquimbo,90,CL,1561404104,87,-29.95,-71.34,59.0,8.05
Plettenberg Bay,100,ZA,1561404104,88,-34.05,23.37,52.64,3.85
Roura,73,GF,1561404104,66,4.73,-52.33,87.8,13.87
Vila Franca do Campo,40,PT,1561404104,64,37.72,-25.43,68.0,13.87
Puerto Narino,75,CO,1561404105,70,-3.77,-70.38,87.8,9.17
Nemuro,100,JP,1561404105,95,43.32,145.57,48.86,2.15
Sergach,23,RU,1561404105,74,55.53,45.48,59.84,9.1
Hokitika,0,NZ,1561404105,55,-42.72,170.96,46.52,3.51
Meru,36,KE,1561404105,92,0.05,37.65,50.84,3.09
Minot,90,US,1561403838,56,48.23,-101.3,75.99,10.29
Saryozek,13,KZ,1561404106,33,44.36,77.98,64.7,7.7
Yerbogachen,17,RU,1561403858,66,61.28,108.01,54.44,2.95
Shelburne,20,CA,1561404106,47,44.08,-80.2,81.0,12.75
Viru,85,EE,1561404106,63,57.74,26.74,64.0,3.36
Gushikawa,20,JP,1561404106,88,26.35,127.87,77.0,4.79
Eastbourne,0,ZA,1561404107,31,-27.81,30.13,45.8,1.01
Nanakuli,75,US,1561404107,100,21.39,-158.15,80.6,7.23
Fort Portal,91,UG,1561404107,94,0.66,30.28,52.28,2.66
San Rafael,93,AR,1561404108,51,-34.61,-68.33,54.26,8.08
Fukue,20,JP,1561404108,73,35.03,136.69,69.8,11.41
Dukat,42,RS,1561404108,74,42.44,22.31,68.0,4.0
Benguela,0,AO,1561404108,83,-12.58,13.4,73.4,11.41
Lafiagi,100,NG,1561404109,88,8.85,5.42,72.44,3.98
Vanavara,0,RU,1561404109,71,60.35,102.28,58.04,4.14
Shimoda,75,JP,1561404109,94,34.7,138.93,68.0,1.12
Ferme-Neuve,98,CA,1561404109,29,46.7,-75.45,78.56,2.37
Sabha,0,LY,1561404109,11,27.03,14.43,96.92,6.87
Bambous Virieux,75,MU,1561404110,94,-20.34,57.76,70.0,18.34
Zhanakorgan,0,KZ,1561404110,17,43.91,67.25,79.28,10.0
Hovd,0,NO,1561404110,51,63.83,10.7,62.6,2.24
Lokosovo,45,RU,1561404110,75,61.13,74.84,55.88,4.54
Canazas,75,PA,1561404110,74,8.38,-82.3,84.2,2.24
Lodja,82,CD,1561404111,37,-3.52,23.6,82.16,2.24
Luwuk,96,ID,1561404111,98,-0.95,122.79,64.52,4.14
Sola,0,FI,1561403587,54,62.78,29.36,59.0,1.12
Port Hedland,0,AU,1561404111,58,-20.31,118.58,57.2,6.93
San Bernardo,90,CL,1561404112,70,-33.59,-70.7,50.0,3.36
Sharan,44,AF,1561404112,50,33.15,68.78,65.6,4.94
Mugur-Aksy,17,RU,1561404112,63,50.38,90.44,30.86,3.85
Kropotkin,65,RU,1561404112,82,45.43,40.58,74.24,7.81
Teplyk,94,UA,1561404112,83,48.66,29.75,70.82,9.42
Kapit,100,MY,1561404113,96,2.02,112.94,74.24,0.74
Yenagoa,100,NG,1561404113,93,4.92,6.26,73.7,9.71
Kenora,100,CA,1561403854,56,49.76,-94.48,69.8,4.7
Ixtapa,5,MX,1561404113,66,20.71,-105.21,89.01,10.29
Gravdal,100,NO,1561404113,87,59.79,5.78,57.99,4.7
San Andres,98,PH,1561403846,92,13.32,122.68,79.1,7.14
Ano Lekhonia,20,GR,1561404114,45,39.33,23.05,82.4,6.93
Bathsheba,40,BB,1561403623,62,13.22,-59.52,87.8,24.16
Grand-Lahou,89,CI,1561404114,87,5.24,-5.0,75.86,6.49
